,ppg
0,58.2906
1,58.2906
2,58.2906
3,57.82662
4,57.82662
5,57.28938
6,57.28938
7,57.28938
8,56.67888
9,56.67888
10,55.946278
11,55.946278
12,55.042736
13,55.042736
14,55.042736
15,53.968254
16,53.968254
17,52.820515
18,52.820515
19,52.820515
20,51.72161
21,51.72161
22,50.62271
23,50.62271
24,49.62149
25,49.62149
26,49.62149
27,48.74237
28,48.74237
29,47.96093
30,47.96093
31,47.96093
32,47.326008
33,47.326008
34,46.813187
35,46.813187
36,46.422466
37,46.422466
38,46.422466
39,46.080585
40,46.080585
41,45.714287
42,45.714287
43,45.714287
44,45.274727
45,45.274727
46,44.835167
47,44.835167
48,44.444447
49,44.444447
50,44.444447
51,43.956043
52,43.956043
53,43.369965
54,43.369965
55,43.369965
56,42.783882
57,42.783882
58,42.197803
59,42.197803
60,41.709404
61,41.709404
62,41.709404
63,41.367523
64,41.367523
65,41.147743
66,41.147743
67,41.147743
68,41.00122
69,41.00122
70,40.87912
71,40.87912
72,40.708183
73,40.708183
74,40.708183
75,40.4884
76,40.4884
77,40.195362
78,40.195362
79,40.195362
80,39.78022
81,39.78022
82,39.29182
83,39.29182
84,38.80342
85,38.80342
86,38.80342
87,38.26618
88,38.26618
89,37.655678
90,37.655678
91,37.655678
92,36.996338
93,36.996338
94,36.410255
95,36.410255
96,35.946278
97,35.946278
98,35.946278
99,35.506718
100,35.506718
101,35.091576
102,35.091576
103,35.091576
104,34.749695
105,34.749695
106,34.432236
107,34.432236
108,34.065933
109,34.065933
110,34.065933
111,33.699635
112,33.699635
113,33.357754
114,33.357754
115,33.357754
116,33.040295
117,33.040295
118,32.747253
119,32.747253
120,32.50305
121,32.50305
122,32.50305
123,32.28327
124,32.28327
125,32.11233
126,32.11233
127,32.11233
128,32.039074
129,32.039074
130,31.941393
131,31.941393
132,31.892553
133,31.892553
134,31.892553
135,31.916973
136,31.916973
137,31.892553
138,31.892553
139,31.892553
140,31.819292
141,31.819292
142,31.746033
143,31.746033
144,31.648352
145,31.648352
146,31.648352
147,31.526253
148,31.526253
149,31.355312
150,31.355312
151,31.355312
152,31.159952
153,31.159952
154,30.964592
155,30.964592
156,30.818071
157,30.818071
158,30.818071
159,30.647131
160,30.647131
161,30.47619
162,30.47619
163,30.47619
164,30.378511
165,30.378511
166,30.378511
167,30.378511
168,30.622711
169,30.622711
170,30.622711
171,31.11111
172,31.11111
173,31.868132
174,31.868132
175,31.868132
176,33.137974
177,33.137974
178,34.920635
179,34.920635
180,37.0696
181,37.0696
182,37.0696
183,39.53602
184,39.53602
185,42.22222
186,42.22222
187,42.22222
188,44.835167
189,44.835167
190,47.374847
191,47.374847
192,49.74359
193,49.74359
194,49.74359
195,51.84371
196,51.84371
197,53.675213
198,53.675213
199,53.675213
200,55.189255
201,55.189255
202,56.4591
203,56.4591
204,57.435898
205,57.435898
206,57.435898
207,58.07082
208,58.07082
209,58.46154
210,58.46154
211,58.46154
212,58.68132
213,58.68132
214,58.705738
215,58.705738
216,58.55922
217,58.55922
218,58.55922
219,58.33944
220,58.33944
221,58.11966
222,58.11966
223,58.11966
224,57.82662
225,57.82662
226,57.533577
227,57.533577
228,57.28938
229,57.28938
230,57.28938
231,57.0696
232,57.0696
233,56.923077
234,56.923077
235,56.923077
236,56.776558
237,56.776558
238,56.581196
239,56.581196
240,56.385838
241,56.385838
242,56.385838
243,56.092796
244,56.092796
245,55.653236
246,55.653236
247,55.653236
248,55.115997
249,55.115997
250,54.481075
251,54.481075
252,53.724056
253,53.724056
254,53.724056
255,52.796093
256,52.796093
257,51.770454
258,51.770454
259,51.770454
260,50.695972
261,50.695972
262,49.57265
263,49.57265
264,48.52259
265,48.52259
266,48.52259
267,47.643467
268,47.643467
269,46.886448
270,46.886448
271,46.886448
272,46.202686
273,46.202686
274,45.56777
275,45.56777
276,45.054947
277,45.054947
278,45.054947
279,44.615387
280,44.615387
281,44.126984
282,44.126984
283,44.126984
284,43.663006
285,43.663006
286,43.272285
287,43.272285
288,42.930405
289,42.930405
290,42.930405
291,42.661785
292,42.661785
293,42.539684
294,42.539684
295,42.539684
296,42.466423
297,42.466423
298,42.490845
299,42.490845
300,42.490845
301,42.490845
302,42.490845
303,42.344322
304,42.344322
305,42.148964
306,42.148964
307,42.148964
308,41.929184
309,41.929184
310,41.636143
311,41.636143
312,41.245422
313,41.245422
314,41.245422
315,40.757023
316,40.757023
317,40.21978
318,40.21978
319,40.21978
320,39.65812
321,39.65812
322,39.04762
323,39.04762
324,38.43712
325,38.43712
326,38.43712
327,37.875458
328,37.875458
329,37.46032
330,37.46032
331,37.46032
332,37.094017
333,37.094017
334,36.825397
335,36.825397
336,36.630035
337,36.630035
338,36.630035
339,36.385838
340,36.385838
341,36.019535
342,36.019535
343,36.019535
344,35.604397
345,35.604397
346,35.140415
347,35.140415
348,34.578754
349,34.578754
350,34.578754
351,33.943836
352,33.943836
353,33.357754
354,33.357754
355,33.357754
356,32.844933
357,32.844933
358,32.50305
359,32.50305
360,32.33211
361,32.33211
362,32.33211
363,32.28327
364,32.28327
365,32.356533
366,32.356533
367,32.356533
368,32.454212
369,32.454212
370,32.454212
371,32.454212
372,32.356533
373,32.356533
374,32.356533
375,32.210014
376,32.210014
377,31.990232
378,31.990232
379,31.990232
380,31.672771
381,31.672771
382,31.330893
383,31.330893
384,31.062271
385,31.062271
386,31.062271
387,30.91575
388,30.91575
389,30.793652
390,30.793652
391,30.793652
392,30.69597
393,30.69597
394,30.647131
395,30.647131
396,30.573872
397,30.573872
398,30.573872
399,30.427351
400,30.427351
401,30.25641
402,30.25641
403,30.25641
404,30.08547
405,30.08547
406,29.93895
407,29.93895
408,29.86569
409,29.86569
410,29.86569
411,29.89011
412,29.89011
413,30.08547
414,30.08547
415,30.08547
416,30.573872
417,30.573872
418,31.599512
419,31.599512
420,33.186813
421,33.186813
422,33.186813
423,35.311356
424,35.311356
425,37.94872
426,37.94872
427,37.94872
428,40.95238
429,40.95238
430,44.273506
431,44.273506
432,47.61905
433,47.61905
434,47.61905
435,50.67155
436,50.67155
437,53.235653
438,53.235653
439,53.235653
440,55.286938
441,55.286938
442,56.84982
443,56.84982
444,57.77778
445,57.77778
446,57.77778
447,58.19292
448,58.19292
449,58.36386
450,58.36386
