,ppg
0,60.2442
1,58.4127
2,58.4127
3,56.263737
4,56.263737
5,56.263737
6,54.139194
7,54.139194
8,52.185593
9,52.185593
10,52.185593
11,50.427353
12,50.427353
13,48.93773
14,48.93773
15,47.61905
16,47.61905
17,47.61905
18,46.39805
19,46.39805
20,43.858364
21,43.858364
22,43.858364
23,42.539684
24,42.539684
25,41.26984
26,41.26984
27,40.195362
28,40.195362
29,40.195362
30,39.53602
31,39.53602
32,39.41392
33,39.41392
34,39.41392
35,39.70696
36,39.70696
37,40.26862
38,40.26862
39,41.05006
40,41.05006
41,41.05006
42,41.880344
43,41.880344
44,42.661785
45,42.661785
46,42.661785
47,43.321125
48,43.321125
49,43.785103
50,43.785103
51,44.102566
52,44.102566
53,44.102566
54,44.273506
55,44.273506
56,44.371185
57,44.371185
58,44.371185
59,44.468864
60,44.468864
61,44.664227
62,44.664227
63,44.932846
64,44.932846
65,44.932846
66,45.225887
67,45.225887
68,45.518925
69,45.518925
70,45.518925
71,45.689865
72,45.689865
73,45.714287
74,45.714287
75,45.543346
76,45.543346
77,45.543346
78,45.201466
79,45.201466
80,44.810745
81,44.810745
82,44.810745
83,44.468864
84,44.468864
85,44.273506
86,44.273506
87,44.346764
88,44.346764
89,44.346764
90,44.639805
91,44.639805
92,45.103786
93,45.103786
94,45.103786
95,45.616608
96,45.616608
97,46.17827
98,46.17827
99,46.446888
100,46.446888
101,46.446888
102,46.61783
103,46.61783
104,47.081806
105,47.081806
106,47.081806
107,47.472527
108,47.472527
109,48.00977
110,48.00977
111,49.47497
112,49.47497
113,49.47497
114,50.32967
115,50.32967
116,51.11111
117,51.11111
118,51.11111
119,51.94139
120,51.94139
121,51.746033
122,51.746033
123,51.208794
124,51.208794
125,51.208794
126,49.865692
127,49.865692
128,48.66911
129,48.66911
130,48.66911
131,47.423687
132,47.423687
133,46.17827
134,46.17827
135,45.054947
136,45.054947
137,45.054947
138,44.102566
139,44.102566
140,43.296703
141,43.296703
142,43.296703
143,42.759464
144,42.759464
145,42.588524
146,42.588524
147,42.83272
148,42.83272
149,42.83272
150,43.418804
151,43.418804
152,44.151405
153,44.151405
154,44.151405
155,44.908424
156,44.908424
157,45.470085
158,45.470085
159,45.763126
160,45.763126
161,45.763126
162,45.836388
163,45.836388
164,45.714287
165,45.714287
166,45.714287
167,45.689865
168,45.689865
169,45.934067
170,45.934067
171,46.520145
172,46.520145
173,46.520145
174,47.545788
175,47.545788
176,48.815628
177,48.815628
178,48.815628
179,50.15873
180,50.15873
181,51.355312
182,51.355312
183,52.258854
184,52.258854
185,52.258854
186,52.844933
187,52.844933
188,53.260075
189,53.260075
190,53.260075
191,53.650795
192,53.650795
193,54.065933
194,54.065933
195,54.481075
196,54.481075
197,54.481075
198,54.896217
199,54.896217
200,55.213676
201,55.213676
202,55.213676
203,55.409035
204,55.409035
205,55.360195
206,55.360195
207,55.042736
208,55.042736
209,55.042736
210,54.505497
211,54.505497
212,53.724056
213,53.724056
214,53.724056
215,52.796093
216,52.796093
217,51.84371
218,51.84371
219,51.01343
220,51.01343
221,51.01343
222,50.476192
223,50.476192
224,50.35409
225,50.35409
226,50.35409
227,50.57387
228,50.57387
229,51.037853
230,51.037853
231,51.62393
232,51.62393
233,51.62393
234,52.161175
235,52.161175
236,52.576313
237,52.576313
238,52.576313
239,52.844933
240,52.844933
241,52.893772
242,52.893772
243,52.796093
244,52.796093
245,52.796093
246,52.600735
247,52.600735
248,52.356533
249,52.356533
250,52.356533
251,52.087914
252,52.087914
253,51.819294
254,51.819294
255,51.526253
256,51.526253
257,51.526253
258,51.23321
259,51.23321
260,50.94017
261,50.94017
262,50.94017
263,50.695972
264,50.695972
265,50.525032
266,50.525032
267,50.427353
268,50.427353
269,50.427353
270,50.40293
271,50.40293
272,50.427353
273,50.427353
274,50.427353
275,50.50061
276,50.50061
277,50.54945
278,50.54945
279,50.54945
280,50.54945
281,50.54945
282,50.50061
283,50.50061
284,50.427353
285,50.427353
286,50.427353
287,50.35409
288,50.35409
289,50.256413
290,50.256413
291,50.207573
292,50.207573
293,50.207573
294,50.23199
295,50.23199
296,50.32967
297,50.32967
298,50.32967
299,50.427353
300,50.427353
301,50.45177
302,50.45177
303,50.40293
304,50.40293
305,50.40293
306,50.256413
307,50.256413
308,49.98779
309,49.98779
310,49.98779
311,49.69475
312,49.69475
313,49.40171
314,49.40171
315,49.18193
316,49.18193
317,49.18193
318,49.08425
319,49.08425
320,49.13309
321,49.13309
322,49.13309
323,49.30403
324,49.30403
325,49.57265
326,49.57265
327,49.865692
328,49.865692
329,49.865692
330,50.10989
331,50.10989
332,50.305252
333,50.305252
334,50.305252
335,50.45177
336,50.45177
337,50.50061
338,50.50061
339,50.45177
340,50.45177
341,50.45177
342,50.35409
343,50.35409
344,50.256413
345,50.256413
346,50.256413
347,50.13431
348,50.13431
349,50.01221
350,50.01221
351,49.89011
352,49.89011
353,49.89011
354,49.81685
355,49.81685
356,49.76801
357,49.76801
358,49.76801
359,49.76801
360,49.76801
361,49.81685
362,49.81685
363,49.91453
364,49.91453
365,49.91453
366,50.036633
367,50.036633
368,50.18315
369,50.18315
370,50.18315
371,50.32967
372,50.32967
373,50.45177
374,50.45177
375,50.525032
376,50.525032
377,50.525032
378,50.525032
379,50.525032
380,50.45177
381,50.45177
382,50.45177
383,50.32967
384,50.32967
385,50.18315
386,50.18315
387,50.06105
388,50.06105
389,50.06105
390,49.96337
391,49.96337
392,49.89011
393,49.89011
394,49.89011
395,49.89011
396,49.89011
397,49.93895
398,49.93895
399,50.01221
400,50.01221
401,50.01221
402,50.06105
403,50.06105
404,
405,
406,
407,50.085472
408,50.085472
409,50.06105
410,50.06105
411,49.93895
412,49.93895
413,49.93895
414,49.79243
415,49.79243
416,49.62149
417,49.62149
418,49.62149
419,49.40171
420,49.40171
421,49.15751
422,49.15751
423,48.88889
424,48.88889
425,48.88889
426,48.595848
427,48.595848
428,48.35165
429,48.35165
430,48.35165
431,48.18071
432,48.18071
433,48.10745
434,48.10745
435,48.13187
436,48.13187
437,48.13187
438,48.15629
439,48.15629
440,48.05861
441,48.05861
442,48.05861
443,47.643467
444,47.643467
445,46.56899
446,46.56899
447,44.713066
448,44.713066
449,44.713066
450,42.271065
451,42.271065
452,39.82906
453,39.82906
454,39.82906
455,38.48596
456,38.48596
457,40.43956
458,40.43956
459,45.95849
460,45.95849
461,45.95849
462,55.45788
463,55.45788
464,70.40293
465,70.40293
466,70.40293
467,84.39561
468,84.39561
469,92.210014
470,92.210014
471,96.11722
472,96.11722
473,96.11722
474,98.070816
475,98.070816
476,99.04762
477,99.04762
478,99.04762
479,99.53602
480,99.53602
481,99.7558
482,99.7558
483,99.3895
484,99.3895
485,99.3895
486,98.779
487,98.779
488,97.97314
