,ppg
458,46.300365
459,46.300365
460,45.103786
461,45.103786
462,43.980465
463,43.980465
464,42.954823
465,42.954823
466,42.954823
467,41.978024
468,41.978024
469,41.098904
470,41.098904
471,41.098904
472,40.366302
473,40.366302
474,39.78022
475,39.78022
476,39.31624
477,39.31624
478,39.31624
479,38.9011
480,38.9011
481,38.534798
482,38.534798
483,38.534798
484,38.19292
485,38.19292
486,37.875458
487,37.875458
488,37.60684
489,37.60684
490,37.60684
491,37.362637
492,37.362637
493,37.11844
494,37.11844
495,37.11844
496,36.800976
497,36.800976
498,36.4591
499,36.4591
500,36.092796
501,36.092796
502,36.092796
503,35.702076
504,35.702076
505,35.286938
506,35.286938
507,35.286938
508,34.871796
509,34.871796
510,34.432236
511,34.432236
512,33.968254
513,33.968254
514,33.968254
515,33.528694
516,33.528694
517,33.113552
518,33.113552
519,33.113552
520,32.673992
521,32.673992
522,32.210014
523,32.210014
524,31.819292
525,31.819292
526,31.819292
527,31.452991
528,31.452991
529,31.013432
530,31.013432
531,31.013432
532,30.573872
533,30.573872
534,30.183151
535,30.183151
536,29.79243
537,29.79243
538,29.79243
539,29.42613
540,29.42613
541,29.08425
542,29.08425
543,29.08425
544,28.717949
545,28.717949
546,28.376068
547,28.376068
548,28.058609
549,28.058609
550,28.058609
551,33.431015
552,33.431015
553,41.73382
554,41.73382
555,41.73382
556,45.885227
557,45.885227
558,47.96093
559,47.96093
560,48.98657
561,48.98657
562,48.98657
563,49.49939
564,49.49939
565,49.76801
566,49.76801
567,49.76801
568,49.89011
569,49.89011
570,49.96337
571,49.96337
572,49.98779
573,49.98779
574,49.98779
575,50.01221
576,50.01221
577,50.01221
578,50.01221
579,50.01221
580,50.01221
581,50.01221
582,50.01221
583,50.01221
584,50.01221
585,50.01221
586,50.01221
587,50.01221
588,50.01221
589,50.01221
590,50.01221
591,50.01221
592,50.01221
593,50.01221
594,50.01221
595,50.01221
596,50.01221
597,50.01221
598,50.01221
599,50.01221
600,50.01221
601,50.01221
602,50.01221
603,50.01221
604,50.01221
605,50.01221
606,50.01221
607,50.01221
608,50.01221
609,50.01221
610,50.01221
611,50.01221
612,50.01221
613,50.01221
614,50.01221
615,50.01221
616,50.01221
617,50.01221
618,50.01221
619,50.01221
620,50.01221
621,50.01221
622,50.01221
623,50.01221
624,50.01221
625,50.01221
626,50.01221
627,50.01221
628,50.01221
629,50.01221
630,50.01221
631,50.01221
632,50.01221
633,50.01221
634,50.01221
635,50.01221
636,50.01221
637,48.18071
638,48.18071
639,48.18071
640,45.421246
641,45.421246
642,44.004887
643,44.004887
644,43.296703
645,43.296703
646,43.296703
647,42.954823
648,42.954823
649,42.783882
650,42.783882
651,42.783882
652,42.661785
653,42.661785
654,42.564102
655,42.564102
656,42.490845
657,42.490845
658,42.490845
659,42.417583
660,42.417583
661,42.344322
662,42.344322
663,42.344322
664,42.22222
665,42.22222
666,42.026863
667,42.026863
668,41.758244
669,41.758244
670,41.758244
671,41.44078
672,41.44078
673,41.05006
674,41.05006
675,41.05006
676,40.4884
677,40.4884
678,39.78022
679,39.78022
680,38.94994
681,38.94994
682,38.94994
683,37.94872
684,37.94872
685,36.72772
686,36.72772
687,36.72772
688,35.335777
689,35.335777
690,33.870575
691,33.870575
